Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
35-045-0009-42602-1,36.742222,-107.976944,New Mexico,Rural,13.94407857,9.672975044,5.499313831,6.0456,0.304,1.53577,0,933.2
35-045-0018-42602-1,36.80973,-107.65158,New Mexico,Rural,10.57019645,7.250252842,2.750399113,0,0.304,0,0.20247,962.7
35-045-1005-42602-2,36.796667,-108.4725,New Mexico,Unknown,12.36047354,10.14840291,7.067169189,3.5033,0.304,0,0,906.9
36-005-0083-42602-1,40.86585,-73.88083,New York,Urban And Center City,24.82363316,23.32634644,19.08453369,66.7531,0.03,1.45961,0.24441,5.4
36-005-0110-42602-1,40.81618,-73.902,New York,Urban And Center City,26.45890892,25.47975178,21.60878563,79.3948,0.012,0,0.20811,0.8
36-029-0002-42602-1,42.99328,-78.77153,New York,Suburban,10.50952493,10.29340926,5.382247925,31.1486,0.181,0,0,590.7
36-029-0005-42602-3,42.876907,-78.809526,New York,Urban And Center City,15.5332937,12.61558921,5.453126431,46.4378,0.183,1.24112,0.1963,578
36-059-0005-42602-2,40.74316,-73.58549,New York,Suburban,18.3368984,21.2941338,17.49744415,61.449,0.03,2.3169,0,12.6
36-061-0056-42602-1,40.75912,-73.96661,New York,Urban And Center City,34.21898838,31.34682415,22.80778503,93.265,0.015,12.56765,0.1967,0
36-081-0124-42602-1,40.73614,-73.82153,New York,Suburban,23.45946602,24.13842104,22.25810432,59.1725,0.017,1.48039,0,3.8
36-103-0009-42602-2,40.82799,-73.05754,New York,Suburban,13.12587904,15.63070573,10.50276947,49.7204,0.043,3.05944,0,12.3
37-067-0022-42602-1,36.110556,-80.226667,North Carolina,Urban And Center City,10.2783534,14.61205848,4.390821457,64.6611,0.277,0,0.29703,353.9
37-119-0041-42602-1,35.2401,-80.785683,North Carolina,Urban And Center City,13.2915601,12.52432757,6.053673267,43.2412,0.215,0,0,296.4
38-013-0004-42602-1,48.64193,-102.4018,North Dakota,Rural,1.093028624,3.043481491,-1.105861664,0,0.304,0,0.06668,1868.2
38-015-0003-42602-1,46.825425,-100.76821,North Dakota,Suburban,6.804070944,10.0883129,0.711864412,59.63,0.304,2.02275,0.14933,2034.2
38-017-1004-42602-1,46.933754,-96.85535,North Dakota,Suburban,5.751212191,5.0337063,0.006411906,15.5569,0.272,0,0.14348,1866.4
38-025-0003-42602-1,47.3132,-102.5273,North Dakota,Rural,1.581852965,2.532286,-1.246105075,0,0.304,0,0,2060
38-053-0002-42602-1,47.5812,-103.2995,North Dakota,Rural,1.017187319,2.972367309,-1.448241472,0,0.304,0,0.19897,2039.6
38-057-0004-42602-1,47.298611,-101.766944,North Dakota,Rural,2.577070064,4.313587547,-0.330622017,3.3952,0.304,1.59206,0.10654,2018.3
38-057-0102-42602-1,47.325,-101.765833,North Dakota,Rural,2.690102948,3.274222927,-0.306504905,0.1501,0.304,0,0,2014.3
38-057-0124-42602-1,47.400619,-101.92865,North Dakota,Rural,1.93110623,4.54144494,-0.447306752,0,0.304,0,0.48847,2012.8
